#"Step","Time (ps)","Potential Energy (kJ/mole)","Total Energy (kJ/mole)","Temperature (K)"
1350,2.6999999999999242,-154917.17447422876,-131500.4761038659,286.9463191824139
1360,2.719999999999922,-154683.73697422876,-131489.45473467,284.22084998724296
1370,2.73999999999992,-154693.23697422876,-131465.95867670805,284.6251810005208
1380,2.7599999999999176,-154819.40779939853,-131358.20024595875,287.49173109538873
1390,2.7799999999999154,-154745.15779939853,-131434.92999952007,285.6416374626194
1400,2.7999999999999132,-154726.40779939853,-131367.04784272332,286.2436989199325
1410,2.819999999999911,-154773.78279939853,-131370.07609143853,286.78712040692454
1420,2.839999999999909,-154607.53279939853,-131247.33808345208,286.25392799221663
1430,2.8599999999999066,-154901.78279939853,-131147.82225156354,291.0791025020109
1440,2.8799999999999044,-154211.03279939853,-131032.21219923324,284.03138431440084
1450,2.899999999999902,-154505.72029939853,-130985.90125558968,288.2099515360845
1460,2.9199999999999,-154670.47029939853,-130855.48446964566,291.826901348221
1470,2.939999999999898,-154809.97029939853,-130923.17222664086,292.70688273913044
1480,2.9599999999998956,-154627.40779939853,-130869.55703536374,291.12677289523634
1490,2.9799999999998934,-154733.28279939853,-130696.08964692196,294.54981182614057
1500,2.999999999999891,-154251.65779939853,-130504.23745617107,290.9989593661533
1510,3.019999999999889,-154237.28279939853,-130562.0408865608,290.1144907447823
1520,3.039999999999887,-154384.59529939853,-130540.46752645116,292.1840043522921
1530,3.0599999999998846,-154240.40779939853,-130343.97490299447,292.82494708524695
1540,3.0799999999998824,-154141.22029939853,-130267.65080764447,292.5447807823577
1550,3.09999999999988,-153908.72029939853,-130220.2241663097,290.27690688281064
1560,3.119999999999878,-153641.97029939853,-130111.53533066297,288.34003821757375
1570,3.139999999999876,-153960.65779939853,-130010.61732986197,293.48184993070277
1580,3.1599999999998736,-153880.84529939853,-130021.34947904793,292.3723231564903
1590,3.1799999999998714,-153973.03279939853,-130058.09977454075,293.0516461561507
1600,3.199999999999869,-154018.78279939853,-130000.41865707454,294.3190826656211
1610,3.219999999999867,-154088.59529939853,-129967.0616524294,295.5833133928386
1620,3.2399999999998648,-154105.78279939853,-130015.80196296703,295.1966678162319
1630,3.2599999999998626,-154054.65779939853,-129891.70392239047,296.0908735262689
1640,3.2799999999998604,-154183.28279939853,-129867.94618819363,297.9581591697513
1650,3.299999999999858,-153850.84529939853,-129815.81690104026,294.52328510506493
1660,3.319999999999856,-153767.03279939853,-129789.74872720498,293.8156908240708
1670,3.3399999999998538,-153840.15779939853,-129785.11174032954,294.768579892944
1680,3.3599999999998515,-153656.28279939853,-129792.52295785618,292.42457412571474
1690,3.3799999999998493,-153752.15779939853,-129713.48545716866,294.5679376971907
1700,3.399999999999847,-153854.89650190505,-129778.44691277458,295.03085701124286
1710,3.419999999999845,-153837.83400190505,-129825.29688704596,294.24767874452255
1720,3.4399999999998427,-153970.77150190505,-129827.60954172164,295.8483449856278
1730,3.4599999999998405,-153921.02150190505,-129747.70522447769,296.21785353904386
1740,3.4799999999998383,-154040.14650190505,-129651.28097330575,298.8591765491482
1750,3.499999999999836,-153633.33400190505,-129699.01244653575,293.2892316336867
1760,3.519999999999834,-153941.39650190505,-129713.03265907208,296.89240193281245
1770,3.5399999999998317,-153781.45900190505,-129678.85539299087,295.3513462446123
1780,3.5599999999998295,-154042.83400190505,-129691.1786042829,298.4032066275429
1790,3.5799999999998273,-153582.58400190505,-129563.4437600458,294.32859292626677
1800,3.599999999999825,-153950.33400190505,-129641.36279528413,297.8801580191796
1810,3.619999999999823,-153645.83400190505,-129682.57404985232,293.6438403953497
1820,3.6399999999998207,-153904.95900190505,-129741.76062875974,296.093869562069
1830,3.6599999999998185,-153605.89650190505,-129729.86878456804,292.5749036789161
1840,3.6799999999998163,-154086.77150190505,-129660.25181453326,299.3205875512796
1850,3.699999999999814,-153371.64650190505,-129623.24017242354,291.01104156159755
1860,3.719999999999812,-153395.95900190505,-129582.12245125836,291.81281817543487
1870,3.7399999999998097,-153882.14650190505,-129444.54540824634,299.4563782035357
1880,3.7599999999998075,-153454.48336895427,-129452.91578257119,294.11325903387103
1890,3.7799999999998053,-154044.23336895427,-129550.09631969366,300.14916520983525
1900,3.799999999999803,-153571.50735585974,-129557.66406334809,294.26368453934776
1910,3.819999999999801,-153733.56985585974,-129525.46924722451,296.6440979073768
1920,3.8399999999997987,-153371.00735585974,-129415.62677704217,293.54728719593896
1930,3.8599999999997965,-153471.94485585974,-129325.17113436043,295.8926032153309
1940,3.8799999999997943,-153614.44485585974,-129381.94819362843,296.94304516592075
1950,3.899999999999792,-153251.44485585974,-129259.567883434,293.9945110378171
1960,3.91999999999979,-153224.81985585974,-129237.35540254973,293.940440387098
1970,3.9399999999997877,-153542.50735585974,-129052.55735042249,300.0978575150285
1980,3.9599999999997855,-153363.50735585974,-129018.13398906111,298.3262271322575
1990,3.9799999999997833,-153761.63235585974,-128864.18454082788,305.0913025638857
2000,3.999999999999781,-153523.19485585974,-128795.22623205371,303.01451832508724
2010,4.019999999999779,-153358.31985585974,-128774.48046469036,301.24837041911184
2020,4.039999999999777,-153029.75735585974,-128720.59390601297,297.88251375204896
2030,4.059999999999775,-153390.12075063866,-128644.01595977833,303.2367574425751
2040,4.079999999999773,-153104.87075063866,-128640.78284714371,299.7809454191689
2050,4.0999999999997705,-153089.86570940434,-128709.72862633981,298.7522188867667
2060,4.119999999999768,-153382.30320940434,-128638.63109817155,303.2069475840789
2070,4.139999999999766,-153421.86570940434,-128734.82438956841,302.5129984676533
2080,4.159999999999764,-153533.76688193297,-128538.14436213672,306.29432741920067
2090,4.179999999999762,-153416.39188193297,-128546.8850113831,304.74891650045436
2100,4.1999999999997595,-153148.64188193297,-128683.38885157392,299.7952227890929
2110,4.219999999999757,-153580.01688193297,-128731.85231917514,304.4873895948707
2120,4.239999999999755,-153558.14188193297,-128759.2601998701,303.88348117915564
2130,4.259999999999753,-153315.01688193297,-128902.07940140087,299.1541522922442
2140,4.279999999999751,-152861.51688193297,-128816.68523559603,294.6434133092645
2150,4.2999999999997485,-153152.26688193297,-128709.20029828604,299.52335187377054
2160,4.319999999999746,-153254.14188193297,-128706.678199313,300.8026254421379
2170,4.339999999999744,-153202.64188193297,-128600.17994308769,301.4765696052177
2180,4.359999999999742,-153282.20438193297,-128609.95962899178,302.3316825391723
2190,4.37999999999974,-153446.51688193297,-128559.92206682742,304.958310784614
2200,4.3999999999997375,-153140.39188193297,-128552.59456197964,301.2968705568418
2210,4.419999999999735,-153062.51688193297,-128564.24025144626,300.1998913018316
2220,4.439999999999733,-153117.82938193297,-128582.7241611965,300.65118585436437
2230,4.459999999999731,-153225.48811854923,-128726.28707387383,300.21121899818957
2240,4.479999999999729,-153007.11311854923,-128657.02512812929,298.3839997470416
2250,4.499999999999726,-153329.67561854923,-128661.2420814127,302.28498021037
2260,4.519999999999724,-153138.67561854923,-128673.6519609812,299.7924120735488
2270,4.539999999999722,-153362.17561854923,-128721.13808224944,301.9492718420899
2280,4.55999999999972,-152936.05061854923,-128838.70794357511,295.2868791875709
2290,4.579999999999718,-153168.73811854923,-128919.18465768488,297.1520577904751
2300,4.599999999999715,-152954.11311854923,-129047.06732632674,292.95499664828947
2310,4.619999999999713,-153081.11311854923,-129081.73651121836,294.08641095458603
2320,4.639999999999711,-153269.86311854923,-129144.38579162059,295.63163892663147
2330,4.659999999999709,-153501.61311854923,-129140.39850776747,298.52034444889773
2340,4.679999999999707,-153375.23811854923,-129209.00062362745,296.1311107133839
